Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
354,Marco Gonzales*\gonzama02,27,SEA,AL,16,13,0.552,3.99,34,34,0,0,0,0,203,210,106,90,23,56,1,147,6,1,2,866,109,4.15,1.31,9.3,1,2.5,6.5,2.63
647,Aaron Nola\nolaaa01,26,PHI,NL,12,7,0.632,3.87,34,34,0,0,0,0,202.1,176,91,87,27,80,3,229,11,0,3,852,116,4.03,1.265,7.8,1.2,3.6,10.2,2.86
196,Patrick Corbin*\corbipa01,29,WSN,NL,14,7,0.667,3.25,33,33,0,1,1,0,202,169,81,73,24,70,2,238,3,0,4,835,141,3.49,1.183,7.5,1.1,3.1,10.6,3.4
92,Jose Berrios\berrijo01,25,MIN,AL,14,8,0.636,3.68,32,32,0,1,0,0,200.1,194,94,82,26,51,0,195,9,1,8,842,124,3.85,1.223,8.7,1.2,2.3,8.8,3.82
922,Noah Syndergaard\syndeno01,26,NYM,NL,10,8,0.556,4.28,32,32,0,1,1,0,197.2,194,101,94,24,50,2,202,6,0,4,825,95,3.6,1.234,8.8,1.1,2.3,9.2,4.04
19,Sandy Alcantara\alcansa01,23,MIA,NL,6,14,0.3,3.88,32,32,0,2,2,0,197.1,179,94,85,23,81,5,151,8,1,4,838,109,4.55,1.318,8.2,1,3.7,6.9,1.86
510,Mike Leake\leakemi01,31,TOT,MLB,12,11,0.522,4.29,32,32,0,2,1,0,197,227,114,94,41,27,2,127,10,0,2,835,102,5.19,1.289,10.4,1.9,1.2,5.8,4.7
295,Jack Flaherty\flaheja01,23,STL,NL,11,8,0.579,2.75,33,33,0,0,0,0,196.1,135,62,60,25,55,2,231,7,0,6,772,155,3.46,0.968,6.2,1.1,2.5,10.6,4.2
989,Zack Wheeler\wheelza01,29,NYM,NL,11,8,0.579,3.96,31,31,0,0,0,0,195.1,196,93,86,22,50,4,195,2,0,5,828,102,3.48,1.259,9,1,2.3,9,3.9
631,Charlie Morton\mortoch02,35,TBR,AL,16,6,0.727,3.05,33,33,0,0,0,0,194.2,154,71,66,15,57,0,240,12,1,5,790,146,2.81,1.084,7.1,0.7,2.6,11.1,4.21
164,Luis Castillo\castilu02,26,CIN,NL,15,8,0.652,3.4,32,32,0,0,0,0,190.2,139,76,72,22,79,0,226,7,3,5,781,133,3.7,1.143,6.6,1,3.7,10.7,2.86
650,Ivan Nova\novaiv01,32,CHW,AL,11,12,0.478,4.72,34,34,0,2,0,0,187,225,107,98,30,47,1,114,9,0,7,806,97,4.98,1.455,10.8,1.4,2.3,5.5,2.43
121,Matthew Boyd*\boydma01,28,DET,AL,9,12,0.429,4.56,32,32,0,0,0,0,185.1,178,101,94,39,50,1,238,8,4,6,788,105,4.32,1.23,8.6,1.9,2.4,11.6,4.76
293,Mike Fiers\fiersmi01,34,OAK,AL,15,4,0.789,3.9,33,33,0,1,1,0,184.2,166,82,80,30,53,0,126,9,1,13,754,110,4.97,1.186,8.1,1.5,2.6,6.1,2.38
906,Marcus Stroman\stromma01,28,TOT,MLB,10,13,0.435,3.22,32,32,0,0,0,0,184.1,183,77,66,18,58,1,159,1,0,7,774,136,3.72,1.307,8.9,0.9,2.8,7.8,2.74
524,Reynaldo Lopez\lopezre01,25,CHW,AL,10,15,0.4,5.38,33,33,0,1,0,0,184,203,119,110,35,65,0,169,8,2,5,809,85,5.04,1.457,9.9,1.7,3.2,8.3,2.6
602,Miles Mikolas\mikolmi01,30,STL,NL,9,14,0.391,4.16,32,32,0,1,1,0,184,193,90,85,27,32,1,144,12,2,5,764,103,4.27,1.223,9.4,1.3,1.6,7,4.5
483,Merrill Kelly\kellyme01,30,ARI,NL,13,14,0.481,4.42,32,32,0,0,0,0,183.1,184,95,90,29,57,4,158,2,0,4,777,101,4.51,1.315,9,1.4,2.8,7.8,2.77
806,Hyun-Jin Ryu*\ryuhy01,32,LAD,NL,14,5,0.737,2.32,29,29,0,1,1,0,182.2,160,53,47,17,24,2,163,4,0,0,723,179,3.1,1.007,7.9,0.8,1.2,8,6.79
141,Walker Buehler\buehlwa01,24,LAD,NL,14,4,0.778,3.26,30,30,0,2,0,0,182.1,153,77,66,20,37,0,215,7,0,4,737,127,3.01,1.042,7.6,1,1.8,10.6,5.81
924,Masahiro Tanaka\tanakma01,30,NYY,AL,11,9,0.55,4.45,32,31,0,1,1,0,182,186,95,90,28,40,0,149,2,0,7,759,100,4.27,1.242,9.2,1.4,2,7.4,3.73
